Approved,Title,CommitCount,Reviews
True,fixes for trial subs,1,[]
True,Draft: Fix/workspace ordering,2,Sundar Shahi
True,refactor: added card details optimistic response after card added,1,[]
True,feat: implemented renew subs and force redirected on billing if cancelled,5,[]
True,Hotfix/sept 15,5,[]
True,Refactor/online offline v3,3,Ritesh  Sainju
True,"Resolve KS-2852 ""Task/hide unimplemented features/""",3,[]
True,WebSocket connection issue on workspace switch fixed,1,Ritesh  Sainju
True,refactor: added skeleton in number settings,1,[]
True,Refactor/notification auto recharge,3,[]
True,Refactor/billing and plan,2,[]
True,Develop,26,[]
True,update cache after mark as read in add contact,1,[]
True,Task/ui fixes 2/ks code,5,[]
True,Refactor/online offline v3,2,Ritesh  Sainju
True,fix: show error toast oncompleted,1,[]
True,Hotfix/support number purchase status,3,[]
True,Task/refactor recent conversation,9,[]
True,ui switch for voicemail transcription,1,Abin Khatiwada
True,Task/refactor data support,2,Sundar Shahi
True,hotfix for qa,3,[]
True,Fix/widget add contact,2,Sundar Shahi
True,Develop,14,[]
True,"Resolve KS-2811 ""Task/no data support ui/""",4,[]
True,Access token added on sending ping,1,Ritesh  Sainju
True,disable call button in topbar if call in progress,1,[]
True,Fix/contact table tags search,2,[]
True,fix double pagination IN SUPPORT,1,[]
True,Develop,30,[]
True,Refactor: Early returned without api call if detail unchanged in team detail update,1,[]
True,Refactor/online offline cache update,9,Ritesh  Sainju
True,Draft: Hotfixes/sept 9,2,[]
True,fix: fixes sep 9 2021,2,[]
True,"Resolve KS-2733 ""Feature/responsive members list 768/""",8,Sundar Shahi
True,Feature/remove pending number,3,[]
True,generate graphql schemas,1,[]
True,Develop,22,[]
True,Feature/permission update,4,Ritesh  Sainju
True,refactor: added filter by ticket number in search,1,[]
True,Fix/contact delete,3,[]
True,Draft: Refactor/online offline,1,Ritesh  Sainju
True,feat: add contact from widdget,1,[]
True,"Resolve KS-2771 ""Feature/members chat responsive ui/""",2,Sundar Shahi
True,Develop,6,[]
True,show team pic in sidebar,1,Sundar Shahi
True,"Resolve KS-2780 ""Task/top notification bar ui/""",5,Sundar Shahi
True,Fix/auto reply custom text,3,Abin Khatiwada
True,Develop,34,[]
True,notes validation fix,1,[]
True,Fix/validation errors,4,[]
True,Fixes/7 sep 2021,2,[]
True,Refactor/online offline,2,Ritesh  Sainju
True,Support/callerid,3,[]
True,Refactor/number purchase,2,[]
True,Fix/edit number name unique check,2,[]
True,Fixes/validation issues,4,Sundar Shahi
